,bus_id,station_id,voltage,dc,symbol,lon,lat,electrical_capacity_solar,electrical_capacity_wind,Nominal_Power_ASU
0,1,2,380.0,f,Substation,43.7146,36.129002,225.12687000000008,0.0,0.0
1,2,3,380.0,f,Substation,43.967285,35.46067,0.0,0.0,0.0
2,3,4,380.0,f,Substation,44.813232,31.456782,0.0,0.0,0.0
3,4,5,380.0,f,Substation,43.967285,32.184911,0.0,0.0,0.0
4,5,6,380.0,f,Substation,44.01123,32.704111,0.0,0.0,0.0
5,6,7,380.0,f,Substation,44.439697,33.449777000000005,0.0,0.0,0.0
6,7,8,380.0,f,Substation,44.219971,33.806538,0.0,0.0,0.0
7,8,9,380.0,f,Substation,44.494629,33.715202000000005,0.0,0.0,0.0
8,9,10,380.0,f,Substation,44.088135,33.669497,0.0,0.0,0.0
9,10,11,380.0,f,Substation,45.20874,32.42634,0.0,0.0,0.0
10,11,16,300.0,f,Substation,48.153076,42.032974,0.0,0.0,0.0
11,12,17,300.0,f,Substation,48.88916,41.211722,0.0,0.0,0.0
12,13,18,380.0,f,Substation,44.472656,38.030786,0.0,0.0,0.0
13,14,19,380.0,f,Substation,43.758545,39.078908,0.0,0.0,0.0
14,15,20,380.0,f,Substation,43.725586,37.848833,0.0,0.0,0.0
15,16,21,132.0,f,Substation,44.088135,39.707187,0.0,0.0,0.0
16,17,22,132.0,f,Substation,48.482666,41.828642,0.0,0.0,0.0
17,18,23,132.0,f,Substation,44.813232,39.172659,0.0,0.0,0.0
18,19,24,132.0,f,Substation,44.527588,38.728376,0.0,0.0,0.0
19,20,25,132.0,f,Substation,44.099121,38.942321,0.0,0.0,0.0
20,21,26,132.0,f,Substation,48.702393,41.599013,0.0,0.0,0.0
21,22,27,380.0,f,Substation,44.055176,40.838749,0.0,0.0,0.0
22,23,28,132.0,f,Substation,10.140381,36.73008,0.0,0.0,0.0
23,24,29,132.0,f,Substation,35.046387,32.500496000000005,0.0,0.0,0.0
24,25,29,380.0,f,Substation,35.046387,32.500496000000005,0.0,0.0,0.0
25,26,30,380.0,f,Substation,8.492432,40.522151,40.0,0.0,0.0
26,27,31,220.0,f,Substation,15.249023,30.836215000000006,0.0,0.0,0.0
27,28,32,380.0,f,Substation,43.26416,35.995785,0.0,0.0,0.0
28,29,33,380.0,f,Substation,42.758789,36.332828000000006,0.0,0.0,0.0
29,30,34,380.0,f,Substation,43.406982,35.083956,0.0,0.0,0.0
30,31,35,380.0,f,Substation,42.1875,34.397845000000004,0.0,0.0,0.0
31,32,36,380.0,f,Substation,42.868652,34.615127,0.0,0.0,0.0
32,33,42,132.0,f,'Substation,35.36499,32.481963,0.0,0.0,0.0
33,34,43,132.0,f,'Substation,35.079346,32.333559,0.0,0.0,0.0
34,35,46,132.0,f,Substation,34.760742,31.147006,0.0,0.0,0.0
35,36,46,380.0,f,Substation,34.760742,31.147006,0.0,0.0,0.0
36,37,47,132.0,f,Substation,35.310059,30.892797,0.0,0.0,0.0
37,38,48,132.0,f,Substation,34.936523,29.52567,0.0,0.0,0.0
38,39,49,132.0,f,Substation,34.562988,31.681433,0.0,0.0,0.0
39,40,49,380.0,f,Substation,34.562988,31.681433,0.0,0.0,0.0
40,41,51,380.0,f,Substation,34.727783,31.961484,0.0,0.0,0.0
41,42,53,380.0,f,Substation,34.94751,32.639375,0.0,0.0,0.0
42,43,55,380.0,f,Substation,34.881592,32.194209,0.0,0.0,0.0
43,44,57,380.0,f,Substation,35.134277000000004,32.898038,0.0,0.0,0.0
44,45,64,380.0,f,Substation,35.441895,32.98102,0.0,0.0,0.0
45,46,65,380.0,f,Substation,38.913574,23.513626,0.0,0.0,0.0
46,47,66,380.0,f,Substation,37.540283,24.786735,0.0,0.0,0.0
47,48,67,380.0,f,Substation,38.891602,24.437148,0.0,0.0,0.0
48,49,68,380.0,f,Substation,39.572754,24.407138,0.0,0.0,0.0
49,50,72,380.0,f,Substation,40.155029,22.136532,0.0,0.0,0.0
50,51,73,380.0,f,Substation,39.715576,21.983801,0.0,0.0,0.0
51,52,77,380.0,f,Substation,39.287109,22.968509,0.0,0.0,0.0
52,53,79,0.0,t,Substation,40.495605,27.955591,0.0,0.0,0.0
53,54,80,0.0,t,Substation,39.638672,24.77676,0.0,0.0,0.0
54,55,83,380.0,f,Substation,39.506836,24.716895,0.0,0.0,0.0
55,56,84,380.0,f,Substation,39.385986,23.875792,0.0,0.0,0.0
56,57,86,380.0,f,Substation,39.880371,22.755921,0.0,0.0,0.0
57,58,87,380.0,f,Substation,40.023193,22.08564,0.0,0.0,0.0
58,59,88,380.0,f,Substation,39.726562,21.667639,0.0,0.0,0.0
59,60,89,380.0,f,Substation,39.748535,22.156883,0.0,0.0,0.0
60,61,90,380.0,f,Substation,39.715576,22.278931,0.0,0.0,0.0
61,62,91,380.0,f,Substation,39.649658,22.23826,0.0,0.0,0.0
62,63,92,380.0,f,Substation,39.715576,22.03473,0.0,0.0,0.0
63,64,93,380.0,f,Substation,40.187988,21.851302,0.0,0.0,0.0
64,65,94,380.0,f,Substation,40.297852,22.09582,0.0,0.0,0.0
65,66,95,380.0,f,Substation,40.407715,21.943046,0.0,0.0,0.0
66,67,96,380.0,f,Substation,40.462646,21.71868,0.0,6.325,0.0
67,68,106,132.0,f,Substation,33.09082,35.110921999999995,0.0,0.0,0.0
68,69,107,132.0,f,Substation,33.486328,35.110921999999995,0.0,0.0,0.0
69,70,108,220.0,f,Substation,33.321533,35.038992,0.0,0.0,0.0
70,71,109,132.0,f,Substation,33.387451,34.921971,0.0,0.0,0.0
